"","date","probe_name","probe_type","value"
"134","07/01/2021 02:40:00","B1_pH1","pH",8.12
"135","07/01/2021 02:40:00","B2T1","Temp",18.3
"136","07/01/2021 02:40:00","B2pH1","pH",7.99
"137","07/01/2021 02:50:00","B2_T2","Temp",18.5
"138","07/01/2021 02:50:00","B2_pH2","pH",4.52
"139","07/01/2021 02:50:00","B1_pH2","pH",8.13
"140","07/01/2021 02:50:00","B1_T2","Temp",16.5
"141","07/01/2021 02:50:00","B1_T1","Temp",16.5
"142","07/01/2021 02:50:00","B1_pH1","pH",8.12
"143","07/01/2021 02:50:00","B2T1","Temp",18.5
"144","07/01/2021 02:50:00","B2pH1","pH",7.99
"145","07/01/2021 03:00:00","B2_T2","Temp",18.1
"146","07/01/2021 03:00:00","B2_pH2","pH",4.52
"147","07/01/2021 03:00:00","B1_pH2","pH",8.12
"148","07/01/2021 03:00:00","B1_T2","Temp",16.6
"149","07/01/2021 03:00:00","B1_T1","Temp",16.6
"150","07/01/2021 03:00:00","B1_pH1","pH",8.12
"151","07/01/2021 03:00:00","B2T1","Temp",18.6
"152","07/01/2021 03:00:00","B2pH1","pH",7.99
"153","07/01/2021 03:10:00","B2_T2","Temp",18.7
"154","07/01/2021 03:10:00","B2_pH2","pH",4.52
"155","07/01/2021 03:10:00","B1_pH2","pH",8.12
"156","07/01/2021 03:10:00","B1_T2","Temp",16.7
"157","07/01/2021 03:10:00","B1_T1","Temp",16.7
"158","07/01/2021 03:10:00","B1_pH1","pH",8.12
"159","07/01/2021 03:10:00","B2T1","Temp",18.7
"160","07/01/2021 03:10:00","B2pH1","pH",7.98
"161","07/01/2021 03:20:00","B2_T2","Temp",18.7
"162","07/01/2021 03:20:00","B2_pH2","pH",4.52
"163","07/01/2021 03:20:00","B1_pH2","pH",8.12
"164","07/01/2021 03:20:00","B1_T2","Temp",16.8
"165","07/01/2021 03:20:00","B1_T1","Temp",16.8
"166","07/01/2021 03:20:00","B1_pH1","pH",8.12
"167","07/01/2021 03:20:00","B2T1","Temp",18.8
"168","07/01/2021 03:20:00","B2pH1","pH",7.98
"169","07/01/2021 03:30:00","B2_T2","Temp",18.5
"170","07/01/2021 03:30:00","B2_pH2","pH",4.52
"171","07/01/2021 03:30:00","B1_pH2","pH",8.12
"172","07/01/2021 03:30:00","B1_T2","Temp",16.9
"173","07/01/2021 03:30:00","B1_T1","Temp",16.8
"174","07/01/2021 03:30:00","B1_pH1","pH",8.12
"175","07/01/2021 03:30:00","B2T1","Temp",18.9
"176","07/01/2021 03:30:00","B2pH1","pH",7.98
"177","07/01/2021 03:40:00","B2_T2","Temp",18.2
"178","07/01/2021 03:40:00","B2_pH2","pH",4.52
"179","07/01/2021 03:40:00","B1_pH2","pH",8.12
"180","07/01/2021 03:40:00","B1_T2","Temp",16.9
"181","07/01/2021 03:40:00","B1_T1","Temp",16.8
"182","07/01/2021 03:40:00","B1_pH1","pH",8.12
"183","07/01/2021 03:40:00","B2T1","Temp",18.9
"184","07/01/2021 03:40:00","B2pH1","pH",7.98
"185","07/01/2021 03:50:00","B2_T2","Temp",18.2
"186","07/01/2021 03:50:00","B2_pH2","pH",4.52
"187","07/01/2021 03:50:00","B1_pH2","pH",8.12
"188","07/01/2021 03:50:00","B1_T2","Temp",16.5
"189","07/01/2021 03:50:00","B1_T1","Temp",16.6
"190","07/01/2021 03:50:00","B1_pH1","pH",8.11
"191","07/01/2021 03:50:00","B2T1","Temp",18.5
